"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"379","RT @ProjectLincoln: .@ThomTillis' silence in the face of Trumps negligent handling of #covid-19 is disgraceful.

Among 83,000+ Americans d",FALSE,0,NA,2020-05-19 23:42:34,FALSE,NA,"1262891427807334400",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nfeurtado",8602,TRUE,FALSE,NA,NA
"380","Govt #making all efforts to ensure safety of #healthcare #professionals

Sufficient stock of #PPEs, other #COVID su https://t.co/V02MjANSBP",FALSE,14,NA,2020-05-19 23:42:32,TRUE,NA,"1262891418260889601",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RisingKashmir",0,FALSE,FALSE,NA,NA
"381","RT @HumanityFirstIN: #HumanityFirst #India #Punjab volunteers have prepared and distributed first batch of hand sanitizers around Qadian to",FALSE,0,NA,2020-05-19 23:42:31,FALSE,NA,"1262891417489244160",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Azeem12911",43,TRUE,FALSE,NA,NA
"382","RT @RobertKennedyJr: HUGE CONFLICT OF INTEREST: The former #pharma executive tapped by President #Trump to lead the federal government's hu",FALSE,0,NA,2020-05-19 23:42:28,FALSE,NA,"1262891403920789504",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Vonni24473",1246,TRUE,FALSE,NA,NA
"383","RT @SeanCordicon: Hydroxychloroquine was used in SHANGHAI as the first line of treatment, said Arguedas.

Is this why China was on lockdo",FALSE,0,NA,2020-05-19 23:42:26,FALSE,NA,"1262891394093535235",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","luedtke_judy",74,TRUE,FALSE,NA,NA
"384","RT @TheUGPod: Episode #31 - ""Pandemic Special"" is now available on all platforms!

#iTunes: https://t.co/nHBmLadlPR
#Spotify: https://t.co/",FALSE,0,NA,2020-05-19 23:42:25,FALSE,NA,"1262891392398999553",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TheUGPod",4,TRUE,FALSE,NA,NA
"385","RT @tyraborne:  Call in now for ur Ankara face &amp; nose  protection mask @ Uba.magnificentStitches.
Offer valid while stocks last
Tel:08",FALSE,0,NA,2020-05-19 23:42:20,FALSE,NA,"1262891368038400010",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GlorYBaee",1,TRUE,FALSE,NA,NA
"386","RT @MaritimeUnionAU: Members of MUA Newcastle have raised $16,500 to provide direct financial and practical assistance to local families en",FALSE,0,NA,2020-05-19 23:42:18,FALSE,NA,"1262891361675681792",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","IanBrayMUA",19,TRUE,FALSE,NA,NA
"387","Be careful out there; please don't click what you don't know. #COVID #Microsoft #Excel #RAT #Phishing #malware https://t.co/60pWcWIkob",FALSE,0,NA,2020-05-19 23:42:12,TRUE,NA,"1262891335159369728",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","Castle_Labs",1,FALSE,FALSE,NA,NA
"388","RT @ProjectLincoln: .@ThomTillis' silence in the face of Trumps negligent handling of #covid-19 is disgraceful.

Among 83,000+ Americans d",FALSE,0,NA,2020-05-19 23:42:12,FALSE,NA,"1262891334999965701",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","wcosby1",8602,TRUE,FALSE,NA,NA
